"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Wald",0.005,5000,0.2,10000,0.1847,0.00301431837221095,0.00247669970825782,0.2715,0.00500406,0.00893772184639802,25.0203,44.6886092319901
"vasicek","Clopper_Pearson",0.005,5000,0.2,10000,0.195,0.00332854501569241,0.00271550416311187,0.0851,0.00500406,0.00893772184639802,25.0203,44.6886092319901
"vasicek","Wilson",0.005,5000,0.2,10000,0.1898,0.00322241811786723,0.00259113741538913,0,0.00500406,0.00893772184639802,25.0203,44.6886092319901
"vasicek","Agresti_Coull",0.005,5000,0.2,10000,0.1898,0.00333393393038199,0.00270151902386561,0.16,0.00500406,0.00893772184639802,25.0203,44.6886092319901
"vasicek","Wald",0.005,5000,0.25,10000,0.1478,0.0027795451976105,0.00207277844251299,0.3581,0.00501204,0.0112738975121699,25.0602,56.3694875608497
"vasicek","Clopper_Pearson",0.005,5000,0.25,10000,0.157,0.00312988182916626,0.00231934232851376,0.1403,0.00501204,0.0112738975121699,25.0602,56.3694875608497
"vasicek","Wilson",0.005,5000,0.25,10000,0.153,0.00303680833495188,0.00220888717570605,0,0.00501204,0.0112738975121699,25.0602,56.3694875608497
"vasicek","Agresti_Coull",0.005,5000,0.25,10000,0.153,0.00315479468229134,0.00233769182603383,0.2368,0.00501204,0.0112738975121699,25.0602,56.3694875608497
"independent","Wald",0.005,10000,0,10000,0.9493,0.00275766337091093,0.00276486944595605,0,0.00499903,0.000701552048409569,49.9903,7.01552048409569
"independent","Clopper_Pearson",0.005,10000,0,10000,0.9537,0.00286618385599908,0.00287332024952443,0,0.00499903,0.000701552048409569,49.9903,7.01552048409569
"independent","Wilson",0.005,10000,0,10000,0.9454,0.00278335260856963,0.00279035624529338,0,0.00499903,0.000701552048409569,49.9903,7.01552048409569
"independent","Agresti_Coull",0.005,10000,0,10000,0.9454,0.00280931172825939,0.00281612373294098,0,0.00499903,0.000701552048409569,49.9903,7.01552048409569
"vasicek","Wald",0.005,10000,0.01,10000,0.6054,0.00273328281492345,0.00270927998760578,0,0.00501789,0.0016451485037102,50.1789,16.451485037102
"vasicek","Clopper_Pearson",0.005,10000,0.01,10000,0.6134,0.00284208681964066,0.00281792476791382,0,0.00501789,0.0016451485037102,50.1789,16.451485037102
